x,Actual value,Recursive Doubling
0,5,4.6919
0.030303,4.94272,4.89438
0.0606061,4.77218,4.74344
0.0909091,4.4923,4.4665
0.121212,4.10949,4.08598
0.151515,3.63252,3.61174
0.181818,3.07232,3.05474
0.212121,2.44172,2.42775
0.242424,1.75517,1.74513
0.272727,1.02841,1.02252
0.30303,0.278081,0.27649
0.333333,-0.478618,-0.47588
0.363636,-1.22435,-1.21735
0.393939,-1.94203,-1.93092
0.424242,-2.61521,-2.60025
0.454545,-3.22847,-3.21
0.484848,-3.76775,-3.7462
0.515152,-4.22071,-4.19656
0.545455,-4.57695,-4.55077
0.575758,-4.82833,-4.80071
0.606061,-4.96907,-4.94064
0.636364,-4.99596,-4.96738
0.666667,-4.90837,-4.88029
0.69697,-4.70832,-4.68139
0.727273,-4.40039,-4.37522
0.757576,-3.99163,-3.9688
0.787879,-3.49141,-3.47144
0.818182,-2.91119,-2.89454
0.848485,-2.26427,-2.25132
0.878788,-1.56547,-1.55652
0.909091,-0.830801,-0.826049
0.939394,-0.0770934,-0.0766524
0.969697,0.678381,0.6745
1,1.41831,1.4102
1.0303,2.12574,2.11358
1.06061,2.78447,2.76854
1.09091,3.37939,3.36006
1.12121,3.89689,3.8746
1.15152,4.32509,4.30035
1.18182,4.65419,4.62757
1.21212,4.87666,4.84876
1.24242,4.98738,4.95885
1.27273,4.98383,4.95532
1.30303,4.86608,4.83825
1.33333,4.63684,4.61031
1.36364,4.30135,4.27675
1.39394,3.86731,3.84519
1.42424,3.34465,3.32552
1.45455,2.74536,2.72966
1.48485,2.08317,2.07125
1.51515,1.37324,1.36539
1.54545,0.631851,0.628236
1.57576,-0.124019,-0.123309
1.60606,-0.877046,-0.872029
1.63636,-1.60998,-1.60077
1.66667,-2.30602,-2.29283
1.69697,-2.94922,-2.93235
1.72727,-3.52485,-3.50469
1.75758,-4.01972,-3.99672
1.78788,-4.42248,-4.39718
1.81818,-4.72391,-4.69689
1.84848,-4.9171,-4.88897
1.87879,-4.99762,-4.96904
1.90909,-4.96364,-4.93524
1.93939,-4.81592,-4.78837
1.9697,-4.55786,-4.53178
2,-4.19536,-4.17136
2.0303,-3.73673,-3.71536
2.06061,-3.19249,-3.17422
2.09091,-2.57509,-2.56036
2.12121,-1.89869,-1.88783
2.15152,-1.17879,-1.17205
2.18182,-0.431878,-0.429408
2.21212,0.32493,0.323071
2.24242,1.07429,1.06815
2.27273,1.79904,1.78875
2.30303,2.48257,2.46837
2.33333,3.10921,3.09142
2.36364,3.66461,3.64365
2.39394,4.13605,4.11239
2.42424,4.51271,4.4869
2.45455,4.78598,4.7586
2.48485,4.94958,4.92127
2.51515,4.99978,4.97118
2.54545,4.93542,4.90718
2.57576,4.75797,4.73075
2.60606,4.4715,4.44592
2.63636,4.08258,4.05922
2.66667,3.60011,3.57952
2.69697,3.03515,3.01779
2.72727,2.40065,2.38692
2.75758,1.71115,1.70136
2.78788,0.982431,0.976811
2.81818,0.231207,0.229884
2.84848,-0.525315,-0.522307
2.87879,-1.2698,-1.2625
2.90909,-1.98519,-1.97325
2.93939,-2.6551,-2.63179
2.9697,-3.26416,-3.13242
3,-3.79844,-2.20185
